	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
950_4_3	5425.024	2168.4041	4767.322	4752.38	6488.8048	3980.9091	6035.362	5257.0029	4346.3708	4313.244	4524.9881	4653.6535	3134.4531	4178.7156	4647.878	4235.3159
950_4_4	4558.0826	1352.61492	3902.1872	4415.5778	4653.6575	2599.51725	5010.5571	3743.1728	3150.00958	3533.0119	3632.2193	3456.32558	2394.8131	3238.8533	4251.716	3458.3433
950_4_5	3231.88054	576.21232	2890.369	3851.6159	2696.69036	1305.89115	3570.6367	2214.741025	1828.20318	2393.0799	2594.4708	2146.49827	1545.88713	1930.6376	3255.6125	2342.71768
950_4_6	1708.26874	-48.95438	1821.6923	2708.80157	983.35176	422.82025	2206.58442	956.423575	569.54678	1299.61	1531.72914	902.26866	692.51141	751.101	2022.10507	1292.87191
950_4_7	387.02894	-435.45108	981.1535	1571.42017	65.11366	-29.15955	1012.11532	205.152545	-130.85742	497.657	806.21274	38.41206	148.54091	2.7492	959.09897	628.60011
950_4_8	-26.59526	-560.705	730.5826	566.4655	-73.54394	-119.546	330.1734	108.686995	-276.2752	-2.4516	585.69634	-45.32382	-15.37189	-290.7081	194.07557	242.66913
950_5_1	6843.697	4019.8184	6373.692	6206.322	9656.871	7076.3535	8619.527	7883.497	6416.036	6396.525	6235.562	6596.793	4507.3213	5993.902	5992.795	5899.973
950_5_2	6787.782	3160.3291	6091.107	6032.183	8516.9288	5667.1991	7884.016	6966.2659	5623.2988	5659.201	5822.2011	6035.9065	4070.6213	5351.1606	5855.041	5443.1909
950_5_3	5811.0876	2158.51502	5207.9802	5711.9158	6590.8465	4045.72825	6732.6201	5415.7558	4391.06858	4761.5919	4923.9483	4700.75658	3244.886	4394.6853	5390.715	4618.6323
950_5_4	4586.98554	1244.50992	4113.586	5013.0539	4648.38136	2584.51015	5259.9557	3748.881025	3109.65018	3657.1899	3776.2638	3475.23127	2427.28653	3184.5786	4473.1165	3514.83468
950_5_5	3216.40074	411.45732	3025.8503	3912.46757	2675.76676	1262.50575	3623.35542	2208.131575	1765.75978	2356.455	2693.52914	2137.73066	1561.65681	1855.535	3271.13007	2409.63891
950_5_6	1695.81094	-201.65638	2015.3075	2662.35817	972.62346	387.23405	2219.32432	1003.724445	496.79438	1261.366	1695.87884	883.43956	682.37631	667.2578	2001.44897	1414.74301
950_5_7	359.46834	-570.59408	1171.2408	1526.0013	28.49776	-54.72685	1027.4315	267.439895	-231.57742	445.8963	984.65654	1.77926	95.06101	-74.7384	936.91257	625.98553
950_6_1	8152.479	4253.6131	7407.846	7297.26	10564.3808	7492.7471	9826.736	8682.0689	7043.6878	7160.234	7125.2281	7441.8205	5041.1567	6658.4106	7035.145	6686.1159
950_6_2	7173.8456	3150.44002	6531.7652	6991.7188	8618.9705	5732.01825	8581.2741	7125.0188	5667.99658	6107.5489	6221.1613	6083.00958	4181.0542	5567.1303	6597.878	5826.5073
950_6_3	5839.99054	2050.41002	5419.379	6309.3919	6585.57036	4030.72115	6982.0187	5421.464025	4350.70918	4885.7699	5067.9928	4719.66227	3277.35943	4340.4106	5612.1155	4675.12368
950_6_4	4571.50574	1079.75492	4249.0673	5073.90557	4627.45776	2541.12475	5312.67442	3742.271575	3047.20678	3620.565	3875.32214	3466.46366	2443.05621	3109.476	4488.63407	3581.75591
950_6_5	3203.94294	258.75532	3219.4655	3866.02417	2665.03846	1226.91955	3636.09532	2255.432445	1693.00738	2318.211	2857.67884	2118.90156	1551.52171	1771.6918	3250.47397	2531.51001
950_6_6	1668.25034	-336.79938	2205.3948	2616.9393	936.00756	361.66675	2234.6405	1066.011795	396.07438	1209.6053	1874.32264	846.80676	628.89641	589.7702	1979.26257	1412.12843
950_7_1	8538.5426	4243.72402	7848.5042	8256.7958	10666.4225	7557.56625	10523.9941	8840.8218	7088.38558	7608.5819	7524.1883	7488.92358	5151.5896	6874.3803	7777.982	7069.4323
950_7_2	7202.74854	3042.33502	6743.164	7589.1949	8613.69436	5717.01115	8830.6727	7130.727025	5627.63718	6231.7269	6365.2058	6101.91527	4213.52763	5512.8556	6819.2785	5882.99868
950_7_3	5824.51074	1885.65502	5554.8603	6370.24357	6564.64676	3987.33575	7034.73742	5414.854575	4288.26578	4849.145	5167.05114	4710.89466	3293.12911	4265.308	5627.63307	4742.04491
950_7_4	4559.04794	927.05292	4442.6825	5027.46217	4616.72946	2505.53855	5325.41432	3789.572445	2974.45438	3582.321	4039.47184	3447.63456	2432.92111	3025.6328	4467.97797	3703.62701
950_7_5	3176.38234	123.61232	3409.5528	3820.6053	2628.42256	1201.35225	3651.4115	2317.719795	1592.28738	2266.4503	3036.12264	2082.26876	1498.04181	1694.2042	3228.28757	2528.89543
950_8_1	8567.44554	4135.61902	8059.903	8854.2719	10661.14636	7542.55915	10773.3927	8846.530025	7048.02618	7732.7599	7668.2328	7507.82927	5184.06303	6820.1056	7999.3825	7125.92368
950_8_2	7187.26874	2877.58002	6878.6453	7650.04657	8592.77076	5673.62575	8883.39142	7124.117575	5565.19378	6195.102	6464.26414	6093.14766	4229.29731	5437.753	6834.79607	5949.91991
950_8_3	5812.05294	1732.95302	5748.4755	6323.80017	6553.91846	3951.74955	7047.47732	5462.155445	4215.51338	4810.901	5331.20084	4692.06556	3282.99401	4181.4648	5606.97697	4863.91601
950_8_4	4531.48734	791.90992	4632.7698	4982.0433	4580.11356	2479.97125	5340.7305	3851.859795	2873.73438	3530.5603	4217.91564	3411.00176	2379.44121	2948.1452	4445.79157	3701.01243
950_9_1	8551.96574	3970.86402	8195.3843	8915.12357	10640.22276	7499.17375	10826.11142	8839.920575	6985.58278	7696.135	7767.29114	7499.06166	5199.83271	6745.003	8014.90007	7192.84491
950_9_2	7174.81094	2724.87802	7072.2605	7603.60317	8582.04246	5638.03955	8896.13132	7171.418445	5492.44138	6156.858	6628.41384	6074.31856	4219.16221	5353.9098	6814.13997	6071.79101
950_9_3	5784.49234	1597.81002	5938.5628	6278.3813	6517.30256	3926.18225	7062.7935	5524.442795	4114.79338	4759.1403	5509.64464	4655.43276	3229.51411	4103.9772	5584.79057	4861.30143
950_10_1	8539.50794	3818.16202	8388.9995	8868.68017	10629.49446	7463.58755	10838.85132	8887.221445	6912.83038	7657.891	7931.44084	7480.23256	5189.69761	6661.1598	7994.24397	7314.71601
950_10_2	7147.25034	2589.73502	7262.3478	7558.1843	8545.42656	5612.47225	8911.4475	7233.705795	5391.72138	6105.0973	6806.85764	6037.68576	4165.68231	5276.4222	6791.95357	6069.17643
950_11_1	8511.94734	3683.01902	8579.0868	8823.2613	10592.87856	7438.02025	10854.1675	8949.508795	6812.11038	7606.1303	8109.88464	7443.59976	5136.21771	6583.6722	7972.05757	7312.10143
957_1_1	2084.172	1974.764	2021.039	2045.971	2935.015	2153.644	2303.262	2119.33	1976.888	2143.763	1935.706	2054.627	1117.038	1257.64	1220.337	991.2137
957_1_2	2060.559	1915.001	2037.562	2042.574	2927.707	2061.892	2207.629	2154.331	1812.003	2011.09	1965.605	2036.429	1082.508	1034.086	1136.837	1034.338
957_1_3	1998.537	1718.828	1992.869	2015.153	2885.65	1849.318	2139.976	2065.211	1680.355	1920.365	1947.248	1938.811	1013.45	995.9189	1107.398	940.9396
957_1_4	2154.788	1597.628	1960.181	1964.865	2901.837	1641.645	2051.538	1937.58	1770.646	1932.363	1808.907	1985.974	1068.641	1065.47	1221.48	980.1492
957_1_5	2182.699	1276.923	1879.969	1975.917	2604.207	1179.211	1899.123	1342.988	1602.56	1792.226	1693.532	1924.489	1007.524	983.2095	1155.702	845.4443
957_1_6	2078.589	915.2332	1379.849	1913.61	1991.911	722.8346	1715.176	562.4312	688.8055	1572.514	1094.142	1733.73	593.0597	672.3545	928.1741	493.6419
957_1_7	728.7237	420.9133	370.9421	1796.527	434.1173	237.388	1147.895	8.773416	41.25353	1198.373	207.025	920.2586	53.94962	430.0049	707.8569	33.30749
957_1_8	-1.05219	38.47309	47.86618	1390.333	-4.88616	30.09954	459.403	-36.4025	-45.6163	542.2671	-8.72713	-42.3067	-78.2694	38.33213	308.3115	-17.7425
957_1_9	-49.3012	-85.083	-2.683435	446.2306	-37.913	-35.6365	221.8054	-115.45	-92.5084	173.0571	-25.11822	-66.2126	-106.511	-58.624	65.67027	-28.6338
957_1_10	-52.6387	-97.2063	-0.8197692	-38.01464	-39.6939	-37.9113	115.8626	-133.925	-91.4788	-44.4857	-9.351164	-67.1725	-114.454	-38.41	-35.2676	-20.0932
957_1_11	-55.7856	-64.1513	-8.741599	-35.74871	-28.4558	-14.9999	60.75283	-118.933	-83.592	-51.4697	-4.731595	-59.4623	-113.78	-65.0114	-16.1696	-33.3744
957_2__1	4144.731	3889.765	4058.601	4088.545	5862.722	4215.536	4510.891	4273.661	3788.891	4154.853	3901.311	4091.056	2199.546	2291.726	2357.174	2025.5517
957_2__2	4059.096	3633.829	4030.431	4057.727	5813.357	3911.21	4347.605	4219.542	3492.358	3931.455	3912.853	3975.24	2095.958	2030.0049	2244.235	1975.2776
957_2__3	4153.325	3316.456	3953.05	3980.018	5787.487	3490.963	4191.514	4002.791	3451.001	3852.728	3756.155	3924.785	2082.091	2061.3889	2328.878	1921.0888
957_2__4	4337.487	2874.551	3840.15	3940.782	5506.044	2820.856	3950.661	3280.568	3373.206	3724.589	3502.439	3910.463	2076.165	2048.6795	2377.182	1825.5935
957_2__5	4261.288	2192.1562	3259.818	3889.527	4596.118	1902.0456	3614.299	1905.4192	2291.3655	3364.74	2787.674	3658.219	1600.5837	1655.564	2083.8761	1339.0862
957_2__6	2807.3127	1336.1465	1750.7911	3710.137	2426.0283	960.2226	2863.071	571.204616	730.05903	2770.887	1301.167	2653.9886	647.00932	1102.3594	1636.031	526.94939
957_2__7	727.67151	459.38639	418.80828	3186.86	429.23114	267.48754	1607.298	-27.629084	-4.36277	1740.6401	198.29787	877.9519	-24.31978	468.33703	1016.1684	15.56499
957_2__8	-50.35339	-46.60991	45.182745	1836.5636	-42.79916	-5.53696	681.2084	-151.8525	-138.1247	715.3242	-33.84535	-108.5193	-184.7804	-20.29187	373.98177	-46.3763
957_2__9	-101.9399	-182.2893	-3.5032042	408.21596	-77.6069	-73.5478	337.668	-249.375	-183.9872	128.5714	-34.469384	-133.3851	-220.965	-97.034	30.40267	-48.727
957_2__10	-108.4243	-161.3576	-9.5613682	-73.76335	-68.1497	-52.9112	176.61543	-252.858	-175.0708	-95.9554	-14.082759	-126.6348	-228.234	-103.4214	-51.4372	-53.4676
957_3_1	6143.268	5608.593	6051.47	6103.698	8748.372	6064.854	6650.867	6338.872	5469.246	6075.218	5848.559	6029.867	3212.996	3287.6449	3464.572	2966.4913
957_3_2	6213.884	5231.457	5990.612	6022.592	8715.194	5552.855	6399.143	6157.122	5263.004	5863.818	5721.76	5961.214	3164.599	3095.4749	3465.715	2955.4268
957_3_3	6336.024	4593.379	5833.019	5955.935	8391.694	4670.174	6090.637	5345.779	5053.561	5644.954	5449.687	5849.274	3089.615	3044.5984	3484.58	2766.5331
957_3_4	6416.076	3789.7842	5219.999	5854.392	7497.955	3543.6906	5665.837	3842.9992	4062.0115	5297.103	4596.581	5644.193	2669.2247	2721.034	3305.3561	2319.2354
957_3_5	4990.0117	2613.0695	3630.7601	5686.054	5030.2353	2139.4336	4762.194	1914.192616	2332.61903	4563.113	2994.699	4578.4776	1654.53332	2085.5689	2791.733	1372.39369
957_3_6	2806.26051	1374.61959	1798.65728	5100.47	2421.14214	990.32214	3322.474	534.802116	684.44273	3313.1541	1292.43987	2611.6819	568.73992	1140.69153	1944.3425	509.20689
957_3_7	678.37031	374.30339	416.124845	3633.0906	391.31814	231.85104	1829.1034	-143.079084	-96.87117	1913.6972	173.17965	811.7393	-130.83078	409.71303	1081.83867	-13.06881
957_3_8	-102.99209	-143.81621	44.3629758	1798.54896	-82.49306	-43.44826	797.071	-285.7775	-229.6035	670.8385	-43.196514	-175.6918	-299.2344	-58.70187	338.71417	-66.4695
957_3_9	-157.7255	-246.4406	-12.2448032	372.46725	-106.0627	-88.5477	398.42083	-368.308	-267.5792	77.1017	-39.200979	-192.8474	-334.745	-162.0454	14.23307	-82.1014
957_4_1	8298.056	7206.221	8011.651	8068.563	11650.209	7706.499	8702.405	8276.452	7239.892	8007.581	7657.466	8015.841	4281.637	4353.1149	4686.052	3946.6405
957_4_2	8396.583	6508.38	7870.581	7998.509	11319.401	6732.066	8298.266	7500.11	6865.564	7656.044	7415.292	7885.703	4172.123	4078.6844	4621.417	3800.8711
957_4_3	8414.613	5508.6122	7212.868	7869.545	10383.605	5393.0086	7805.813	5908.2102	5742.3665	7217.468	6543.829	7583.004	3682.6747	3716.9529	4412.7541	3260.175
957_4_4	7144.7997	4210.6975	5590.9411	7650.919	7932.0723	3781.0786	6813.732	3851.772616	4103.26503	6495.476	4803.606	6564.4516	2723.17432	3151.0389	4013.213	2352.54289
957_4_5	4988.95951	2651.54259	3678.62628	7076.387	5025.34914	2169.53314	5221.597	1877.790116	2287.00273	5105.3801	2985.97187	4536.1709	1576.26392	2123.90103	3100.0445	1354.65119
957_4_6	2756.95931	1289.53659	1795.973845	5546.7006	2383.22914	954.68564	3544.2794	419.352116	591.93433	3486.2112	1267.32165	2545.4693	462.22892	1082.06753	2010.01277	480.57309
957_4_7	625.73161	277.09709	415.3050758	3595.07596	351.62424	193.93974	1944.966	-277.004084	-188.34997	1869.2115	163.828486	744.5668	-245.28478	371.30303	1046.57107	-33.16201
957_4_8	-158.77769	-207.96751	35.6213768	1762.80025	-110.94886	-58.44816	857.82383	-404.7105	-313.1955	619.3688	-47.928109	-235.1541	-413.0144	-123.71327	322.54457	-99.8439
957_5_1	10480.755	8483.144	9891.62	10044.48	14254.416	8885.71	10601.528	9619.44	8842.452	9799.807	9350.998	9940.33	5289.161	5336.3244	5841.754	4792.0848
957_5_2	10475.172	7423.6132	9250.43	9912.119	13311.312	7454.9006	10013.442	8062.5412	7554.3695	9228.558	8509.434	9619.433	4765.1827	4751.0389	5549.5911	4294.513
957_5_3	9143.3367	5929.5255	7583.8101	9666.072	10817.7223	5630.3966	8953.708	5916.983616	5783.62003	8415.841	6750.854	8503.2626	3736.62432	4146.9578	5120.611	3293.48249
957_5_4	7143.74751	4249.17059	5638.80728	9041.252	7927.18614	3811.17814	7273.135	3815.370116	4057.64873	7037.7431	4794.87887	6522.1449	2644.90492	3189.37103	4321.5245	2334.80039
957_5_5	4939.65831	2566.45959	3675.942845	7522.6176	4987.43614	2133.89664	5443.4024	1762.340116	2194.49433	5278.4372	2960.85365	4469.9583	1469.75292	2065.27703	3165.71477	1326.01739
957_5_6	2704.32061	1192.33029	1795.154076	5508.68596	2343.53524	916.77434	3660.142	285.427116	500.45553	3441.7255	1257.970486	2478.2968	347.77492	1043.65753	1974.74517	460.47989
957_5_7	569.94601	212.94579	406.5634768	3559.32725	323.16844	178.93984	2005.71883	-395.937084	-271.94197	1817.7418	159.096891	685.1045	-359.06478	306.29163	1030.40147	-66.53641
957_6_1	12559.344	9398.3772	11271.469	11958.09	16246.327	9608.5446	12316.704	10181.8712	9531.2575	11372.321	10445.14	11674.06	5882.2207	6008.6789	6769.9281	5285.7267
957_6_2	11203.8957	7844.5265	9621.3721	11708.646	13745.4293	7692.2886	11161.337	8071.314616	7595.62303	10426.931	8716.459	10539.6916	4819.13232	5181.0438	6257.448	4327.82049
957_6_3	9142.28451	5967.99859	7631.67628	11056.405	10812.83614	5660.49614	9413.111	5880.581116	5738.00373	8958.1081	6742.12687	8460.9559	3658.35492	4185.28993	5428.9225	3275.73999
957_6_4	7094.44631	4164.08759	5636.123845	9487.4826	7889.27314	3775.54164	7494.9404	3699.920116	3965.14033	7210.8002	4769.76065	6455.9323	2538.39392	3130.74703	4387.19477	2306.16659
957_6_5	4887.01961	2469.25329	3675.123076	7484.60296	4947.74224	2095.98534	5559.265	1628.415116	2103.01553	5233.9515	2951.502486	4402.7858	1355.29892	2026.86703	3130.44717	1305.92419
957_6_6	2648.53501	1128.17899	1786.412477	5472.93725	2315.07944	901.77444	3720.89483	166.494116	416.86353	3390.2558	1253.238891	2418.8345	233.99492	978.64613	1958.57557	427.10549
957_7_1	13288.0677	9819.2905	11642.4111	13754.617	16680.4443	9845.9326	13464.599	10190.64462	9572.51103	12570.694	10652.165	12594.3186	5936.17032	6438.6838	7477.785	5319.03419
957_7_2	11202.84351	7882.99959	9669.23828	13098.979	13740.54314	7722.38814	11620.74	8034.912116	7550.00673	10969.1981	8707.73187	10497.3849	4740.86292	5219.37593	6565.7595	4310.07799
957_7_3	9092.98331	5882.91559	7628.992845	11502.6356	10774.92314	5624.85964	9634.9164	5765.131116	5645.49533	9131.1652	6717.00865	8394.7433	3551.84392	4126.66593	5494.59277	3247.10619
957_7_4	7041.80761	4066.88129	5635.304076	9449.46796	7849.57924	3737.63034	7610.803	3565.995116	3873.66153	7166.3145	4760.409486	6388.7598	2423.93992	3092.33703	4351.92717	2286.07339
957_7_5	4831.23401	2405.10199	3666.381477	7448.85425	4919.28644	2080.98544	5620.01783	1509.482116	2019.42353	5182.4818	2946.770891	4343.3235	1241.51892	1961.85563	3114.27757	1272.54979
957_8_1	13287.01551	9857.76359	11690.27728	15144.95	16675.55814	9876.03214	13924.002	10154.24212	9526.89473	13112.9611	10643.43787	12552.0119	5857.90092	6477.01593	7786.0965	5301.29169
957_8_2	11153.54231	7797.91659	9666.554845	13545.2096	13702.63014	7686.75164	11842.5454	7919.462116	7457.49833	11142.2552	8682.61365	10431.1723	4634.35192	5160.75193	6631.42977	4281.44419
957_8_3	9040.34461	5785.70929	7628.173076	11464.62096	10735.22924	5586.94834	9750.779	5631.206116	5554.01653	9086.6795	6707.657486	8327.5708	3437.38992	4088.25593	5459.32517	3227.01299
957_8_4	6986.02201	4002.72999	5626.562477	9413.71925	7821.12344	3722.63044	7671.55583	3447.062116	3790.06953	7114.8448	4755.677891	6329.2975	2310.15992	3027.32563	4335.75757	2252.69899
957_9_1	13237.71431	9772.68059	11687.59385	15591.1806	16637.64514	9840.39564	14145.8074	10038.79212	9434.38633	13286.0182	10618.31965	12485.7993	5751.38992	6418.39193	7851.76677	5272.65789
957_9_2	11100.90361	7700.71029	9665.735076	13507.19496	13662.93624	7648.84034	11958.408	7785.537116	7366.01953	11097.7695	8673.262486	10363.9998	4519.89792	5122.34193	6596.16217	4261.35099
957_9_3	8984.55901	5721.55799	7619.431477	11428.87225	10706.77344	5571.94844	9811.53183	5512.273116	5470.42453	9035.2098	6702.925891	8268.1085	3323.60992	4023.24453	5443.15557	3193.63859
957_10_1	13185.07561	9675.47429	11686.77408	15553.16596	16597.95124	9802.48434	14261.67	9904.867116	9342.90753	13241.5325	10608.96849	12418.6268	5636.93592	6379.98193	7816.49917	5252.56469
957_10_2	11045.11801	7636.55899	9656.993477	13471.44625	13634.48044	7633.84044	12019.16083	7666.604116	7282.42753	11046.2998	8668.530891	10304.5375	4406.11792	5057.33053	6579.99257	4227.97659
957_11_1	13129.29001	9611.32299	11678.03248	15517.41725	16569.49544	9787.48444	14322.42283	9785.934116	9259.31553	13190.0628	10604.23689	12359.1645	5523.15592	6314.97053	7800.32957	5219.19029
962_1_1	1771.477	2143.518	1622.715	1635.54	2579.326	2372.566	2468.782	1957.808	1695.516	1795.341	1373.206	1788.055	1218.013	1289.106	1265.08	1203.146
962_1_2	1769.204	2085.205	1644.744	1608.734	2546.674	2300.144	2406.264	2021.762	1610.712	1670.362	1377.518	1712.574	1196.143	1219.907	1220.548	1207.952
962_1_3	1734.559	1960.157	1650.481	1596.482	2462.625	2096.389	2329.523	1948.743	1512.102	1579.24	1342.049	1639.306	1069.634	1171.607	1183.422	1214.847
962_1_4	1858.793	1907.732	1537.982	1571.518	2603.759	1929.535	2302.616	2009.207	1618.483	1580.879	1242.75	1710.783	1137.489	1350.007	1256.509	1142.153
962_1_5	1828.233	1442.154	1576.718	1531.31	2464.027	1249.393	2178.653	1754.129	1502.323	1455.653	1266.631	1697.073	1037.497	1273.198	1175.228	1062.22
962_1_6	1822.743	859.0512	1463.179	1488.398	1917.162	595.0135	1769.792	1136.193	834.4556	1116.595	1014.944	1450.239	819.136	788.5885	1086.074	795.2437
962_1_7	688.3857	275.0259	713.7156	1331.632	519.7584	137.9893	1098.104	279.9861	48.55024	773.5636	416.8698	1062.712	260.8196	169.2376	784.0535	254.8315
962_1_8	11.32771	-9.44355	294.7907	950.8547	-39.821	20.30709	370.5412	29.33713	-35.7692	237.091	143.8875	21.06803	12.82463	-71.1132	121.977	94.35955
962_1_9	-36.7011	-84.6469	255.9171	55.93897	-54.5173	-15.649	188.9522	-9.01474	-84.3081	13.85247	146.5847	-33.789	-17.7371	-91.7672	-58.4271	92.81748
962_1_10	-45.2198	-62.7603	311.8095	-19.66652	-31.3336	-6.77801	167.1162	70.52285	-75.0192	-26.1053	185.469	-41.5223	-23.995	-93.2846	-64.0016	127.5967
962_1_11	-27.1809	-31.5549	304.8769	-16.82808	-32.2256	16.09562	75.4798	54.36087	-80.4146	-32.9001	184.8609	-40.1859	-67.593	-73.6019	-51.5302	28.87497
962_2__1	3540.681	4228.723	3267.459	3244.274	5126	4672.71	4875.046	3979.57	3306.228	3465.703	2750.724	3500.629	2414.156	2509.013	2485.628	2411.098
962_2__2	3503.763	4045.362	3295.225	3205.216	5009.299	4396.533	4735.787	3970.505	3122.814	3249.602	2719.567	3351.88	2265.777	2391.514	2403.97	2422.799
962_2__3	3593.352	3867.889	3188.463	3168	5066.384	4025.924	4632.139	3957.95	3130.585	3160.119	2584.799	3350.089	2207.123	2521.614	2439.931	2357
962_2__4	3687.026	3349.886	3114.7	3102.828	5067.786	3178.928	4481.269	3763.336	3120.806	3036.532	2509.381	3407.856	2174.986	2623.205	2431.737	2204.373
962_2__5	3650.976	2301.2052	3039.897	3019.708	4381.189	1844.4065	3948.445	2890.322	2336.7786	2572.248	2281.575	3147.312	1856.633	2061.7865	2261.302	1857.4637
962_2__6	2511.1287	1134.0771	2176.8946	2820.03	2436.9204	733.0028	2867.896	1416.1791	883.00584	1890.1586	1431.8138	2512.951	1079.9556	957.8261	1870.1275	1050.0752
962_2__7	699.71341	265.58235	1008.5063	2282.4867	479.9374	158.29639	1468.6452	309.32323	12.78104	1010.6546	560.7573	1083.78003	273.64423	98.1244	906.0305	349.19105
962_2__8	-25.37339	-94.09045	550.7078	1006.79367	-94.3383	4.65809	559.4934	20.32239	-120.0773	250.94347	290.4722	-12.72097	-4.91247	-162.8804	63.5499	187.17703
962_2__9	-81.9209	-147.4072	567.7266	36.27245	-85.8509	-22.42701	356.0684	61.50811	-159.3273	-12.25283	332.0537	-75.3113	-41.7321	-185.0518	-122.4287	220.41418
962_2__10	-72.4007	-94.3152	616.6864	-36.4946	-63.5592	9.31761	242.596	124.88372	-155.4338	-59.0054	370.3299	-81.7082	-91.588	-166.8865	-115.5318	156.47167
962_3_1	5275.24	6188.88	4917.94	4840.756	7588.625	6769.099	7204.569	5928.313	4818.33	5044.943	4092.773	5139.935	3483.79	3680.62	3669.05	3625.945
962_3_2	5362.556	5953.094	4833.207	4776.734	7613.058	6326.068	7038.403	5979.712	4741.297	4830.481	3962.317	5062.663	3403.266	3741.521	3660.479	3564.952
962_3_3	5421.585	5310.043	4765.181	4699.31	7530.411	5275.317	6810.792	5712.079	4632.908	4615.772	3851.43	5047.162	3244.62	3794.812	3615.159	3419.22
962_3_4	5509.769	4208.9372	4577.879	4591.226	6984.948	3773.9415	6251.061	4899.529	3955.2616	4153.127	3524.325	4858.095	2994.122	3411.7935	3517.811	2999.6167
962_3_5	4339.3617	2576.2311	3753.6126	4351.34	4900.9474	1982.3958	5046.549	3170.3081	2385.32884	3345.8116	2698.4448	4210.024	2117.4526	2231.0241	3045.3555	2112.2952
962_3_6	2522.45641	1124.63355	2471.6853	3770.8847	2397.0994	753.30989	3238.4372	1445.51623	847.23664	2127.2496	1575.7013	2534.01903	1092.78023	886.7129	1992.1045	1144.43475
962_3_7	663.01231	180.93545	1264.4234	2338.42567	425.4201	142.64739	1657.5974	300.30849	-71.52706	1024.50707	707.342	1049.99103	255.90713	6.3572	847.6034	442.00853
962_3_8	-70.59319	-156.85075	862.5173	987.12715	-125.6719	-2.11992	726.6096	90.84524	-195.0965	224.83817	475.9412	-54.24327	-28.90747	-256.165	-0.4517	314.77373
962_3_9	-109.1018	-178.9621	872.6035	19.44437	-118.0765	-6.33139	431.5482	115.86898	-239.7419	-45.15293	516.9146	-115.4972	-109.3251	-258.6537	-173.9589	249.28915
962_4_1	7134.033	8096.612	6455.922	6412.274	10192.384	8698.634	9507.185	7937.52	6436.813	6625.822	5335.523	6850.718	4621.279	5030.627	4925.559	4768.098
962_4_2	7190.789	7395.248	6409.925	6308.044	10077.085	7575.461	9217.056	7733.841	6243.62	6286.134	5228.948	6759.736	4440.763	5014.719	4835.707	4627.172
962_4_3	7244.328	6169.0942	6228.36	6187.708	9447.573	5870.3305	8580.584	6848.272	5467.3636	5732.367	4866.374	6497.401	4063.756	4583.4005	4701.233	4214.4637
962_4_4	6198.1547	4483.9631	5291.5946	5922.858	7504.7064	3911.9308	7349.165	5179.5151	4003.81184	4926.6906	3941.1948	5920.807	3254.9416	3581.0311	4301.8645	3254.4482
962_4_5	4350.68941	2566.78755	4048.4033	5302.1947	4861.1264	2002.70289	5417.0902	3199.64523	2349.55964	3582.9026	2842.3323	4231.09203	2130.27723	2159.9109	3167.3325	2206.65475
962_4_6	2485.75531	1039.98665	2727.6024	3826.82367	2342.5821	737.66089	3427.3894	1436.50149	762.92854	2141.10207	1722.286	2500.23003	1075.04313	794.9457	1933.6774	1237.25223
962_4_7	617.79251	118.17515	1576.2329	2318.75915	394.0865	135.86938	1824.7136	370.83134	-146.54626	998.40177	892.811	1008.46873	231.91213	-86.9274	783.6018	569.60523
962_4_8	-97.77409	-188.40565	1167.3942	970.29907	-157.8975	13.9757	802.0894	145.20611	-275.5111	191.93807	660.8021	-94.42917	-96.50047	-329.7669	-51.9819	343.6487
962_5_1	8962.266	9538.766	8032.64	7943.584	12656.411	9948.027	11685.838	9691.649	7939.136	8081.475	6602.154	8547.791	5658.776	6303.825	6100.787	5830.318
962_5_2	9013.532	8254.2992	7873.104	7796.442	11994.247	8170.4745	10986.848	8870.034	7078.0756	7402.729	6243.892	8209.975	5259.899	5803.3075	5921.781	5422.4157
962_5_3	7932.7137	6444.1201	6942.0756	7519.34	9967.3314	6008.3198	9678.688	7128.2581	5515.91384	6505.9306	5283.2438	7560.113	4324.5756	4752.6381	5485.2865	4469.2952
962_5_4	6209.48241	4474.51955	5586.3853	6873.7127	7464.8854	3932.23789	7719.7062	5208.85223	3968.04264	5163.7816	4085.0823	5941.87503	3267.76623	3509.9179	4423.8415	3348.80775
962_5_5	4313.98831	2482.14065	4304.3204	5358.13367	4806.6091	1987.05389	5606.0424	3190.63049	2265.25154	3596.75507	2988.917	4197.30303	2112.54013	2068.1437	3108.9054	2299.47223
962_5_6	2440.53551	977.22635	3039.4119	3807.15715	2311.2485	730.88288	3594.5056	1507.02434	687.90934	2114.99677	1907.755	2458.70773	1051.04813	701.6611	1869.6758	1364.84893
962_5_7	590.61161	86.62025	1881.1098	2301.93107	361.8609	151.965	1900.1934	425.19221	-226.96086	965.50167	1077.6719	968.28283	164.31913	-160.5293	732.0716	598.4802
962_6_1	10785.009	10397.8172	9495.819	9431.982	14573.573	10543.0405	13455.63	10827.842	8773.5916	9198.07	7617.098	9998.03	6477.912	7092.4135	7186.861	6625.5617
